,Tense,Modal Type,NP Pattern,Adverb Exists
1006,past tense,,"('DT', 'the', 'NN(sg)')",3
1007,base,,OTHER,0
1008,past participle,,NNP(proper),4
1009,,"['ability', 'request', 'suggestion']",OTHER,1
1010,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
1011,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
1012,past participle,,NNP(proper),7
1013,past tense,,"('DT', 'a', 'NN(sg)')",1
1014,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
1015,present tense 3rd.sg,,NNP(proper),1
1016,present tense non-3rd.sg,,OTHER,0
1017,present tense non-3rd.sg,,NNP(proper),0
1018,past tense,,OTHER,5
1019,past tense,,NNP(proper),2
1020,base,,OTHER,1
1021,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,3
1022,present tense 3rd.sg,"['obligation', 'certainty']",OTHER,3
1023,past participle,,OTHER,0
1024,present tense 3rd.sg,,OTHER JJ,3
1025,base,[],"('DT', 'one', 'JJ', 'NN(sg)')",3
1026,past tense,,"('DT', 'one', 'JJ', 'NNS(pl)')",0
1027,base,,"('DT', 'the', 'NN(sg)')",2
1028,past tense,,OTHER,2
1029,past participle,,OTHER,0
1030,present tense 3rd.sg,,OTHER,1
1031,past participle,,OTHER,1
1032,base,,OTHER,0
1033,base,,"('DT', 'only', 'JJ', 'NN(sg)')",3
1034,base,,"('DT', 'the', 'NN(sg)')",1
1035,past participle,,OTHER JJ,3
1036,,,OTHER,1
1037,past participle,,"('DT', 'the', 'NN(sg)')",0
1038,past participle,['possibility'],OTHER,1
1039,base,,"('DT', 'a', 'NN(sg)')",1
1040,base,,"('DT', 'the', 'NN(sg)')",0
1041,present participle,,OTHER,0
1042,,,"('DT', 'a', 'NN(sg)')",2
1043,present tense 3rd.sg,,OTHER,0
1044,base,,"('DT', 'the', 'NN(sg)')",1
1045,base,"['opinion', 'advice']",OTHER,2
1046,present participle,,"('DT', 'the', 'NN(sg)')",0
1047,base,"['ability', 'request', 'suggestion']",OTHER JJ,2
1048,past participle,,OTHER,1
1049,past participle,,NNP(proper),1
1050,base,,"('DT', 'the', 'NN(sg)')",2
1051,past participle,,NNP(proper),0
1052,past participle,"['possibility', 'request', 'permission']",NNP(proper),1
1053,past participle,,OTHER,1
1054,past participle,,NNP(proper),0
1055,past participle,,"('DT', 'the', 'NN(sg)')",1
1056,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",0
1057,present participle,,"('DT', 'a', 'NN(sg)')",2
1058,base,,OTHER,0
1059,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1060,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
1061,base,,OTHER,2
1062,base,,"('DT', 'the', 'NN(sg)')",0
1063,base,,"('DT', 'the', 'NN(sg)')",0
1064,past tense,,OTHER,0
1065,present participle,,"('DT', 'the', 'NN(sg)')",2
1066,present tense non-3rd.sg,,"('DT', 'each', 'NN(sg)')",1
1067,base,"['ability', 'request', 'suggestion']",OTHER,2
1068,base,,OTHER,1
1069,present participle,,NNP(proper),4
1070,present participle,,"('DT', 'the', 'NN(sg)')",3
1071,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",4
1072,past tense,,OTHER,2
1073,present tense 3rd.sg,,NNP(proper),5
1074,base,"['ability', 'suggestion', 'request']",OTHER,4
1075,,"['opinion', 'advice']",OTHER,0
1076,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1077,base,,NNS(pl),0
1078,,,"('DT', 'the', 'NN(sg)')",1
1079,present participle,,NNP(proper),0
1080,present tense 3rd.sg,"['obligation', 'certainty']",OTHER,4
1081,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'every', 'NN(sg)')",3
1082,past participle,,"('DT', 'a', 'NN(sg)')",0
1083,,,OTHER,0
1084,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
1085,base,,"('DT', 'the', 'NN(sg)')",3
1086,base,,OTHER,2
1087,present participle,,"('DT', 'any', 'NN(sg)')",1
1088,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
1089,past tense,,OTHER,2
1090,base,"['ability', 'suggestion', 'request']",OTHER,4
1091,past tense,,"('DT', 'the', 'NN(sg)')",6
1092,past tense,,NNP(proper),2
1093,base,,OTHER,1
1094,base,,"('DT', 'the', 'NN(sg)')",2
1095,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
1096,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
1097,present participle,,"('DT', 'the', 'NN(sg)')",2
1098,past tense,,"('DT', 'a', 'NN(sg)')",1
1099,present participle,,"('DT', 'a', 'NN(sg)')",1
1100,present participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
1101,base,,"('DT', 'the', 'NN(sg)')",0
1102,past tense,,OTHER,3
1103,past tense,,NNP(proper),2
1104,past tense,,OTHER,0
1105,base,,"('DT', 'the', 'NN(sg)')",0
1106,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",3
1107,base,,OTHER,3
1108,present participle,,"('DT', 'the', 'NN(sg)')",2
1109,present participle,,"('DT', 'the', 'NN(sg)')",2
1110,past participle,,NNP(proper),2
1111,past tense,"['opinion', 'advice']","('DT', 'a', 'JJ', 'NN(sg)')",1
1112,present tense 3rd.sg,,NNP(proper),3
1113,past participle,,NNP(proper),3
1114,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,1
1115,past participle,,NNP(proper),0
1116,present participle,,"('DT', 'a', 'NN(sg)')",1
1117,past tense,,"('DT', 'the', 'NN(sg)')",4
1118,present participle,,"('DT', 'the', 'NN(sg)')",0
1119,past tense,,OTHER,0
1120,present participle,,"('DT', 'a', 'NN(sg)')",1
1121,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'an', 'NN(sg)')",0
1122,present participle,,OTHER JJ,2
1123,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",4
1124,present tense non-3rd.sg,,OTHER,6
1125,base,"['possibility', 'request', 'permission']","('DT', 'a', 'JJ', 'NN(sg)')",2
1126,past tense,,"('DT', 'such', 'JJ', 'NN(sg)')",0
1127,,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",2
1128,present participle,,"('DT', 'a', 'JJ', 'NN(sg)')",0
1129,present tense non-3rd.sg,,NNP(proper),2
1130,,,OTHER,0
1131,past participle,,"('DT', 'the', 'NN(sg)')",6
1132,present tense 3rd.sg,,NNP(proper),2
1133,base,,OTHER,0
1134,present tense 3rd.sg,"['possibility', 'request', 'permission']",OTHER,2
1135,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
1136,present tense 3rd.sg,,OTHER,1
1137,past tense,,"('DT', 'the', 'NN(sg)')",2
1138,base,,OTHER,6
1139,past tense,,"('DT', 'the', 'NN(sg)')",1
1140,past participle,['possibility'],"('DT', 'the', 'JJ', 'NN(sg)')",0
1141,past participle,,NNP(proper),0
1142,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",3
1143,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
1144,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
1145,base,,"('DT', 'the', 'NN(sg)')",1
1146,base,,"('DT', 'the', 'NN(sg)')",4
1147,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
1148,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",2
1149,,['possibility'],"('DT', 'the', 'NN(sg)')",2
1150,past participle,[],OTHER,3
1151,base,"['ability', 'suggestion', 'request']",OTHER,8
1152,past participle,,OTHER,1
1153,base,,"('DT', 'the', 'NN(sg)')",3
1154,,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
1155,past participle,,"('DT', 'the', 'NN(sg)')",5
1156,present participle,,"('DT', 'a', 'NN(sg)')",5
1157,past participle,[],"('DT', 'the', 'JJ', 'NN(sg)')",3
1158,present tense non-3rd.sg,,OTHER,4
1159,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",5
1160,past tense,,OTHER,0
1161,,,OTHER,0
1162,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1163,past participle,"['obligation', 'certainty']",OTHER JJ,0
1164,present participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
1165,past participle,,"('DT', 'the', 'NN(sg)')",0
1166,present participle,,"('DT', 'the', 'NN(sg)')",2
1167,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",6
1168,present tense 3rd.sg,,OTHER,1
1169,base,,"('DT', 'the', 'NN(sg)')",1
1170,present participle,,"('DT', 'a', 'JJ', 'NN(sg)')",1
1171,past participle,,"('DT', 'the', 'NN(sg)')",2
1172,present tense non-3rd.sg,,NNP(proper),4
1173,present participle,,NNP(proper),5
1174,past participle,,"('DT', 'the', 'NN(sg)')",0
1175,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
1176,present tense non-3rd.sg,,OTHER,2
1177,past tense,,"('DT', 'the', 'NN(sg)')",0
1178,base,,OTHER,2
1179,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
1180,past participle,,"('DT', 'no', 'NN(sg)')",0
1181,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
1182,base,"['obligation', 'certainty']",OTHER,2
1183,past tense,,"('DT', 'the', 'NN(sg)')",2
1184,past tense,,OTHER,2
1185,past participle,"['possibility', 'request', 'permission']",OTHER,2
1186,past tense,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",1
1187,past participle,"['opinion', 'advice']","('DT', 'every', 'NN(sg)')",3
1188,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1189,past tense,,"('DT', 'the', 'NN(sg)')",0
1190,past tense,,"('DT', 'the', 'NN(sg)')",1
1191,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
1192,past tense,,"('DT', 'the', 'NN(sg)')",1
1193,present participle,,"('DT', 'the', 'NN(sg)')",2
1194,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1195,past tense,,"('DT', 'a', 'NN(sg)')",0
1196,past tense,,NNP(proper),4
1197,past participle,,NNP(proper),0
1198,past tense,,NNP(proper),4
1199,present participle,,"('DT', 'the', 'NN(sg)')",2
1200,,,OTHER,1
1201,base,"['opinion', 'advice']",OTHER,0
1202,,"['ability', 'suggestion', 'request']","('DT', 'every', 'NN(sg)')",1
1203,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",0
1204,,,"('DT', 'the', 'NN(sg)')",0
1205,base,,"('DT', 'the', 'JJ', 'NN(sg)')",0
1206,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
1207,past participle,,OTHER,6
1208,base,,"('DT', 'the', 'NN(sg)')",2
1209,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1210,past participle,,"('DT', 'the', 'NN(sg)')",0
1211,base,,"('DT', 'the', 'NN(sg)')",1
1212,past participle,,OTHER,1
1213,base,,"('DT', 'the', 'NN(sg)')",1
1214,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",3
1215,present participle,,OTHER,0
1216,base,,"('DT', 'the', 'NN(sg)')",3
1217,past participle,,OTHER JJ,1
1218,past tense,,OTHER JJ,1
1219,past tense,,OTHER JJ,3
1220,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
1221,past participle,"['possibility', 'request', 'permission']",OTHER,2
1222,base,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1223,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
1224,present participle,,OTHER,1
1225,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",7
1226,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",0
1227,present tense 3rd.sg,,NNP(proper),0
1228,present tense 3rd.sg,,OTHER,2
1229,present participle,,"('DT', 'the', 'NN(sg)')",0
1230,past tense,,"('DT', 'the', 'NN(sg)')",1
1231,past tense,,"('DT', 'the', 'NN(sg)')",0
1232,past participle,,"('DT', 'the', 'NN(sg)')",1
1233,past tense,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1234,past participle,,"('DT', 'the', 'NN(sg)')",0
1235,past participle,"['ability', 'suggestion', 'request']",OTHER,3
1236,past participle,,"('DT', 'the', 'NN(sg)')",1
1237,,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",2
1238,past tense,,OTHER,2
1239,present tense non-3rd.sg,,"('DT', 'every', 'NN(sg)')",0
1240,base,"['ability', 'request', 'suggestion']",NNP(proper),3
1241,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
1242,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
1243,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1244,base,,"('DT', 'the', 'NN(sg)')",1
1245,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1246,base,,"('DT', 'the', 'NN(sg)')",0
1247,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
1248,past participle,,OTHER JJ,0
1249,present tense 3rd.sg,,OTHER,0
1250,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",5
1251,past participle,,"('DT', 'the', 'NN(sg)')",2
1252,present participle,,"('DT', 'the', 'NN(sg)')",3
1253,,,OTHER,5
1254,present tense non-3rd.sg,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",2
1255,past participle,,"('DT', 'the', 'NN(sg)')",1
1256,,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",4
1257,past participle,,OTHER,3
1258,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1259,base,,"('DT', 'the', 'NN(sg)')",3
1260,base,"['opinion', 'advice']","('DT', 'every', 'NN(sg)')",1
1261,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
1262,base,,"('DT', 'the', 'NN(sg)')",2
1263,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1264,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1265,past tense,,"('DT', 'the', 'NN(sg)')",0
1266,past participle,,"('DT', 'a', 'JJ', 'NN(sg)')",2
1267,base,,OTHER,1
1268,past tense,,"('DT', 'the', 'NN(sg)')",0
1269,past tense,,"('DT', 'the', 'NN(sg)')",1
1270,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
1271,base,,"('DT', 'the', 'NN(sg)')",1
1272,past participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'JJ', 'NN(sg)')",3
1273,past tense,,"('DT', 'the', 'NN(sg)')",2
1274,present participle,,"('DT', 'the', 'NN(sg)')",2
1275,present tense non-3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",8
1276,present participle,,"('DT', 'the', 'JJ', 'NN(sg)')",2
1277,past participle,,OTHER JJ,1
1278,past tense,,"('DT', 'the', 'NN(sg)')",0
1279,present participle,,"('DT', 'the', 'NN(sg)')",1
1280,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
1281,,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1282,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1283,past tense,,"('DT', 'a', 'NN(sg)')",1
1284,present tense 3rd.sg,,OTHER,0
1285,base,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
1286,base,,"('DT', 'the', 'NN(sg)')",1
1287,base,,"('DT', 'the', 'NN(sg)')",0
1288,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",4
1289,past participle,"['obligation', 'certainty']",OTHER,0
1290,base,[],"('DT', 'the', 'NN(sg)')",1
1291,,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
1292,base,,"('DT', 'the', 'NN(sg)')",0
1293,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
1294,past participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
1295,present tense 3rd.sg,,OTHER,0
1296,present tense non-3rd.sg,,NNP(proper),0
1297,present tense non-3rd.sg,,OTHER JJ,0
1298,present participle,,OTHER,1
1299,past participle,,"('DT', 'the', 'NN(sg)')",1
1300,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
1301,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
1302,past tense,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",3
1303,present participle,"['obligation', 'certainty']",OTHER,3
1304,past participle,,OTHER,1
1305,past participle,"['opinion', 'advice']","('DT', 'the', 'JJ', 'NN(sg)')",1
1306,past tense,,"('DT', 'the', 'NN(sg)')",1
1307,base,,"('DT', 'the', 'NN(sg)')",0
1308,base,,"('DT', 'the', 'NN(sg)')",1
1309,past tense,,"('DT', 'the', 'NN(sg)')",0
1310,past tense,,"('DT', 'the', 'NN(sg)')",2
1311,past tense,,"('DT', 'the', 'NN(sg)')",0
1312,present participle,['possibility'],"('DT', 'the', 'NN(sg)')",0
1313,present participle,"['obligation', 'certainty']","('DT', 'a', 'NN(sg)')",1
1314,base,,"('DT', 'the', 'JJ', 'NN(sg)')",3
1315,base,,OTHER,2
1316,base,"['ability', 'request', 'suggestion']",OTHER,2
1317,past participle,,OTHER,1
1318,base,,OTHER,4
1319,past participle,,OTHER,1
1320,past participle,,OTHER,1
1321,past tense,"['ability', 'request', 'suggestion']",OTHER,0
1322,past tense,"['ability', 'request', 'suggestion']",OTHER,0
1323,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,2
1324,present participle,"['obligation', 'certainty']",OTHER,0
1325,base,[],OTHER,0
1326,present tense 3rd.sg,,NNP(proper),0
1327,,"['possibility', 'request', 'permission']","('DT', 'an', 'NN(sg)')",2
1328,present participle,,"('DT', 'a', 'NN(sg)')",1
1329,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1330,base,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1331,past tense,,OTHER,1
1332,past tense,,"('DT', 'the', 'NN(sg)')",1
1333,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1334,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
1335,past participle,"['possibility', 'request', 'permission']",OTHER,2
1336,past participle,,"('DT', 'the', 'NN(sg)')",5
1337,past participle,,"('DT', 'the', 'NN(sg)')",4
1338,present tense 3rd.sg,,OTHER,1
1339,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",4
1340,present tense 3rd.sg,,NNP(proper),1
1341,past participle,,"('DT', 'the', 'NN(sg)')",1
1342,base,"['obligation', 'certainty']",NNP(proper),1
1343,present participle,,OTHER,2
1344,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
1345,present tense 3rd.sg,,NNP(proper),0
1346,past tense,,"('DT', 'a', 'JJ', 'NN(sg)')",1
1347,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",4
1348,past participle,,NNP(proper),1
1349,present tense non-3rd.sg,[],"('DT', 'the', 'NN(sg)')",0
1350,,"['possibility', 'request', 'permission']","('DT', 'an', 'JJ', 'NN(sg)')",8
1351,past participle,,"('DT', 'the', 'NN(sg)')",1
1352,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1353,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
1354,base,"['possibility', 'request', 'permission']","('DT', 'any', 'JJ', 'NN(sg)')",3
1355,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",2
1356,present participle,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
1357,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
1358,base,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",4
1359,past participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",2
1360,past participle,,"('DT', 'the', 'NN(sg)')",2
1361,past participle,,"('DT', 'the', 'NN(sg)')",2
1362,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",4
1363,base,"['ability', 'suggestion', 'request']",OTHER,1
1364,base,,OTHER JJ,1
1365,past tense,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
1366,present participle,,"('DT', 'the', 'NN(sg)')",1
1367,base,,"('DT', 'the', 'NN(sg)')",0
1368,past tense,,"('DT', 'the', 'NN(sg)')",2
1369,present participle,,OTHER,2
1370,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
1371,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",2
1372,past tense,,"('DT', 'a', 'NN(sg)')",0
1373,base,"['obligation', 'certainty']","('DT', 'the', 'JJ', 'NN(sg)')",2
1374,past tense,,"('DT', 'a', 'NN(sg)')",1
1375,base,,"('DT', 'a', 'NN(sg)')",2
1376,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",2
1377,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",3
1378,present participle,,"('DT', 'the', 'NN(sg)')",1
1379,past participle,,"('DT', 'a', 'NN(sg)')",0
1380,base,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1381,base,,"('DT', 'a', 'JJ', 'NN(sg)')",1
1382,past participle,"['ability', 'suggestion', 'request']",OTHER,5
1383,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1384,present tense 3rd.sg,,OTHER,1
1385,present tense 3rd.sg,,OTHER,0
1386,base,,OTHER,2
1387,past tense,,"('DT', 'the', 'JJ', 'NNS(pl)')",3
1388,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",1
1389,past tense,,"('DT', 'the', 'JJ', 'NN(sg)')",2
1390,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
1391,present participle,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",5
1392,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",5
1393,,,"('DT', 'the', 'NN(sg)')",2
1394,present participle,,"('DT', 'a', 'NN(sg)')",1
1395,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1396,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1397,base,,OTHER,2
1398,base,,OTHER JJ,3
1399,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",1
1400,past tense,,OTHER,2
1401,past participle,,"('DT', 'a', 'JJ', 'NN(sg)')",2
1402,past participle,,"('DT', 'the', 'NN(sg)')",2
1403,past participle,,"('DT', 'a', 'NN(sg)')",1
1404,base,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",0
1405,present tense non-3rd.sg,,OTHER,1
1406,past tense,"['ability', 'suggestion', 'request']",OTHER,1
1407,past tense,,"('DT', 'a', 'JJ', 'NN(sg)')",1
1408,past tense,[],"('DT', 'the', 'NN(sg)')",3
1409,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
1410,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
1411,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",3
1412,present participle,,"('DT', 'an', 'NN(sg)')",3
1413,present tense 3rd.sg,,NNP(proper),0
1414,past participle,,"('DT', 'the', 'NN(sg)')",6
1415,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",5
1416,past participle,,"('DT', 'the', 'NN(sg)')",1
1417,past tense,,"('DT', 'the', 'NN(sg)')",2
1418,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'JJ', 'NN(sg)')",3
1419,past participle,,OTHER,2
1420,present participle,,"('DT', 'a', 'NN(sg)')",2
1421,base,"['obligation', 'certainty']","('DT', 'every', 'NN(sg)')",3
1422,base,,"('DT', 'the', 'NN(sg)')",0
1423,base,,"('DT', 'the', 'NN(sg)')",0
1424,past participle,,NNP(proper),0
1425,past tense,['possibility'],"('DT', 'the', 'NN(sg)')",1
1426,past participle,[],"('DT', 'the', 'JJ', 'NN(sg)')",3
1427,present participle,,OTHER,0
1428,present tense non-3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1429,past participle,,OTHER,1
1430,past tense,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1431,present tense 3rd.sg,"['possibility', 'request', 'permission']",NNP(proper),0
1432,past participle,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",3
1433,past tense,,OTHER,0
1434,past tense,"['possibility', 'request', 'permission']",NNP(proper),1
1435,past participle,,"('DT', 'an', 'JJ', 'NN(sg)')",2
1436,past participle,[],NNP(proper),3
1437,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'JJ', 'NN(sg)')",0
1438,present participle,,"('DT', 'the', 'NN(sg)')",4
1439,base,"['ability', 'suggestion', 'request']",OTHER,0
1440,past tense,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",0
1441,past participle,,"('DT', 'a', 'NN(sg)')",1
1442,base,,NNP(proper),1
1443,base,,"('DT', 'the', 'NN(sg)')",0
1444,past participle,,"('DT', 'the', 'NN(sg)')",0
1445,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
1446,past tense,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",0
1447,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
1448,present tense non-3rd.sg,,OTHER,2
1449,past tense,,NNP(proper),2
1450,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",5
1451,past participle,,"('DT', 'no', 'JJ', 'NN(sg)')",1
1452,past participle,"['possibility', 'request', 'permission']",OTHER,2
1453,past tense,,"('DT', 'the', 'NN(sg)')",2
1454,present participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",2
1455,present participle,,"('DT', 'the', 'NN(sg)')",0
1456,past participle,,"('DT', 'a', 'NN(sg)')",1
1457,base,,"('DT', 'the', 'NN(sg)')",3
1458,base,,"('DT', 'the', 'NN(sg)')",0
1459,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1460,present participle,,"('DT', 'a', 'NN(sg)')",3
1461,present tense non-3rd.sg,,OTHER,2
1462,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",4
1463,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1464,present participle,,"('DT', 'the', 'NN(sg)')",1
1465,past participle,,"('DT', 'the', 'NN(sg)')",2
1466,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",1
1467,,,"('DT', 'a', 'NN(sg)')",1
1468,past tense,"['ability', 'suggestion', 'request']","('DT', 'one', 'JJ', 'NN(sg)')",4
1469,past participle,,OTHER,3
1470,present tense non-3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",1
1471,past participle,,OTHER,1
1472,base,"['obligation', 'certainty']","('DT', 'a', 'NN(sg)')",3
1473,present participle,,"('DT', 'the', 'NN(sg)')",3
1474,base,,OTHER,1
1475,past tense,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",6
1476,past participle,,OTHER,1
1477,base,,"('DT', 'the', 'NN(sg)')",2
